ID	EggType	PC1	PC2	PC3	PC4
004_CB_ATP_CHN_F	Immaculate	-32.053032	2.9825137	27.599659	0.3857217
006_CB_ATP_CHN_F	Immaculate	-34.71451	5.0182424	37.388523	0.21636803
007_CB_ATP_CHN_F	Immaculate	-27.910244	2.1165054	18.682531	0.19745003
010_CC_RED_FIN_F	Immaculate	-20.966307	0.060952943	11.145772	2.2917793
013_CC_GRW_HUN_F	SpottedWest	21.225214	-8.073826	3.522668	-4.487747
014_CC_GRW_HUN_F	SpottedWest	21.115448	-7.9420753	3.4580698	-4.373293
016_CC_GRW_HUN_F	SpottedWest	20.696783	43.30594	-0.16141385	-4.655875
017_CC_GRW_HUN_F	SpottedWest	21.46117	-8.275432	3.4042273	-4.529779
022_CC_RED_FIN_F	Immaculate	-25.558725	2.779456	29.269732	3.6607165
028_CC_BRA_FIN_F	SpottedWest	17.479942	-1.0003533	-1.4346502	37.86506
029_CC_BRA_FIN_F	SpottedWest	17.754019	-1.4437671	-1.3801377	42.669186
034_CC_MPT_NOR_F	SpottedWest	21.033085	-7.875842	3.168728	-4.3489056
035_CC_MPT_NOR_F	SpottedWest	21.34271	-8.266545	3.3528466	-4.6935883
036_CC_MPT_NOR_F	SpottedWest	19.295988	-6.0677958	2.6785498	-2.6431355
038_CC_ERW_DNK_F	SpottedWest	20.811974	-7.4660273	3.018215	-4.1013217
039_CC_ERW_DNK_F	SpottedWest	21.142487	-7.86265	3.2072163	-4.441656
042_CC_GRW_HUN_F	SpottedWest	13.321138	-0.40718004	-2.0768666	2.5154247
043_CC_RED_FIN_F	Immaculate	-26.14806	1.0943494	19.042551	2.7899938
053_CC_RED_FIN_F	Immaculate	-18.464327	-0.6682459	2.5591936	1.9944504
056_CC_COR_BGR_F	SpottedWest	21.766918	-8.312225	3.8226347	-5.1396503
058_CC_COR_BGR_F	SpottedWest	21.111677	-7.750166	3.1583967	-4.0249643
061_CC_GRW_BGR_F	SpottedWest	21.225214	-8.073813	3.5226617	-4.487745
062_CC_GRW_BGR_F	SpottedWest	21.118908	-7.628374	3.1720488	-4.260756
063_CC_GRW_BGR_F	SpottedWest	20.955732	-7.412856	3.4094353	-4.0410504
066_CC_GRW_BGR_F	SpottedWest	21.08424	-7.5257535	3.1887848	-4.165689
069_CC_GRW_BGR_F	SpottedWest	19.763706	35.275288	-1.1550177	-3.1639988
070_CC_GRW_BGR_F	SpottedWest	20.99633	-7.912274	3.4074366	-4.393302
071_CC_GRW_BGR_F	SpottedWest	19.612488	35.350124	-1.4160495	-3.0809817
074_CC_MSH_BGR_F	SpottedWest	19.780588	36.756996	-1.2525421	-3.2260659
096_CC_GRW_HUN_F	SpottedWest	20.656687	-7.00998	2.9439013	-3.726848
102_CC_ERW_SPA_F	SpottedWest	20.46837	-6.5065928	3.0610678	-3.6096163
184_CC_IBS_CHN_F	SpottedWest	19.216825	35.33404	-1.6771413	-3.1122022
185_CB_OMR_CHN_F	SpottedEast	-14.240011	-1.6745216	-13.8721895	-1.1645601
186_CC_ORW_CHN_F	SpottedEast	-12.252346	-1.2547504	-10.815416	-0.6575273
188_CC_ORW_CHN_F	SpottedEast	-14.973668	-1.8321632	-14.614624	-1.3211644
189_CC_ORW_CHN_F	SpottedEast	-5.028379	-0.93669933	-11.450927	-0.010406483
193_CC_ORW_CHN_F	SpottedEast	-17.571083	-1.7963332	-14.066164	-1.5738422
194_CC_ORW_CHN_F	SpottedEast	-16.704884	-1.7041619	-14.54223	-1.5365034
195_CC_ORW_CHN_F	SpottedEast	-15.1188135	-1.7034801	-14.333559	-1.4961286
196_CC_ORW_CHN_F	SpottedEast	-12.293159	-1.6067626	-13.643091	-0.805082
197_CC_ORW_CHN_F	SpottedEast	-20.025225	-1.2058126	-12.937103	-1.7496723
199_CC_ORW_CHN_F	SpottedEast	-5.941682	-0.83684444	-11.558158	-0.1591711
200_CC_ORW_CHN_F	SpottedEast	-16.490795	-1.6629547	-12.472255	-1.1635829
202_CC_ORW_CHN_F	SpottedEast	-16.440014	-1.5378971	-13.811092	-1.3653309
205_CC_ORW_CHN_F	SpottedEast	-19.327665	-1.5338312	-13.548726	-1.6923659
206_CC_ORW_CHN_F	SpottedEast	-19.483288	-1.594583	-14.10411	-1.8387169
207_CC_ORW_CHN_F	SpottedEast	-13.894014	-1.8046811	-14.189965	-1.2150214
208_CC_ORW_CHN_F	SpottedEast	-19.469196	-1.6471831	-13.42069	-1.525932
215_CB_GBC_CHN_F	Immaculate	-18.857254	0.24255803	-3.1895573	-0.69823664
216_CB_GBC_CHN_F	Immaculate	-21.38908	0.3977406	0.45611602	-0.6231425
231_CC_ORW_CHN_F	SpottedEast	-27.138048	-0.62660414	-2.324025	-1.5461348
238_CC_ORW_CHN_F	SpottedEast	-25.199696	-1.2055755	-6.7036552	-1.8955396
242_CC_ORW_CHN_F	SpottedEast	-30.54543	0.02585665	5.054623	-1.0999061
252_CC_SRT_RUS_F	Immaculate	-14.014641	-0.37438595	-3.761267	-0.04945711
256_CC_SRT_RUS_F	Immaculate	-13.280982	-0.49072805	-1.8502973	2.5307777
259_CC_SRT_RUS_F	Immaculate	-26.578547	0.3283502	9.407671	-0.40551746
260_CC_SRT_RUS_F	Immaculate	-27.144451	0.7994663	10.250913	-0.31270543
261_CC_BFB_RUS_F	SpottedWest	17.46225	-0.8685222	-1.5651758	40.66817
269_CC_TBW_RUS_F	SpottedWest	21.473627	-8.2625265	3.405265	-4.6863246
270_CC_TBW_RUS_F	SpottedWest	21.257433	-7.9998636	3.278861	-4.459908
272_CC_TBW_RUS_F	SpottedWest	21.577232	-8.454368	3.597496	-4.828205
273_CC_TBW_RUS_F	SpottedWest	21.589952	-7.557606	3.3667562	-4.535272
408_CC_TBW_RUS_F	SpottedWest	21.473635	-8.262529	3.4052646	-4.686327
