SampleID	PC1	PC2	PC3	PC4
004_CB_ATP_CHN_F	-32.05305	2.9822996	27.599672	0.38569114
006_CB_ATP_CHN_F	-34.71451	5.0179653	37.388554	0.21631451
007_CB_ATP_CHN_F	-27.910248	2.1163619	18.682533	0.19742668
010_CC_RED_FIN_F	-20.966309	0.060877882	11.145787	2.2918532
013_CC_GRW_HUN_F	21.225216	-8.073855	3.5226135	-4.4877477
014_CC_GRW_HUN_F	21.115448	-7.94211	3.458016	-4.3732944
016_CC_GRW_HUN_F	20.696785	43.30596	-0.16112582	-4.655878
017_CC_GRW_HUN_F	21.461172	-8.275457	3.4041722	-4.529783
022_CC_RED_FIN_F	-25.558727	2.7792468	29.269762	3.6607919
028_CC_BRA_FIN_F	17.479944	-1.000344	-1.4346582	37.865055
029_CC_BRA_FIN_F	17.754019	-1.4437577	-1.3801489	42.669163
034_CC_MPT_NOR_F	21.033085	-7.875866	3.1686761	-4.348906
035_CC_MPT_NOR_F	21.342712	-8.266569	3.3527906	-4.6935887
036_CC_MPT_NOR_F	19.29599	-6.0678163	2.678509	-2.6431346
038_CC_ERW_DNK_F	20.811974	-7.466051	3.0181642	-4.1013227
039_CC_ERW_DNK_F	21.142488	-7.862675	3.2071636	-4.4416566
042_CC_GRW_HUN_F	13.32114	-0.40716437	-2.0768692	2.5154297
043_CC_RED_FIN_F	-26.14806	1.0942144	19.042572	2.7900639
053_CC_RED_FIN_F	-18.464329	-0.66826254	2.5592048	1.9945062
056_CC_COR_BGR_F	21.76692	-8.312255	3.8225787	-5.139649
058_CC_COR_BGR_F	21.11168	-7.75019	3.1583443	-4.0249653
061_CC_GRW_BGR_F	21.225214	-8.073839	3.5226073	-4.487746
062_CC_GRW_BGR_F	21.11891	-7.6283984	3.171997	-4.2607565
063_CC_GRW_BGR_F	20.955736	-7.4128804	3.409386	-4.041049
066_CC_GRW_BGR_F	21.08424	-7.525779	3.1887343	-4.16569
069_CC_GRW_BGR_F	19.76371	35.275303	-1.1547806	-3.1639962
070_CC_GRW_BGR_F	20.996332	-7.9123006	3.4073827	-4.3933015
071_CC_GRW_BGR_F	19.61249	35.350143	-1.4158133	-3.0809772
074_CC_MSH_BGR_F	19.78059	36.757015	-1.2522978	-3.2260618
096_CC_GRW_HUN_F	20.656687	-7.010004	2.9438543	-3.7268484
102_CC_ERW_SPA_F	20.468372	-6.506617	3.0610247	-3.609615
184_CC_IBS_CHN_F	19.216827	35.334064	-1.6769061	-3.1121993
185_CB_OMR_CHN_F	-14.240012	-1.6744174	-13.872202	-1.1645536
186_CC_ORW_CHN_F	-12.252345	-1.2546695	-10.815426	-0.65752065
188_CC_ORW_CHN_F	-14.97367	-1.8320559	-14.614637	-1.3211614
189_CC_ORW_CHN_F	-5.028378	-0.93661386	-11.450933	-0.01040219
193_CC_ORW_CHN_F	-17.571083	-1.7962313	-14.066177	-1.573839
194_CC_ORW_CHN_F	-16.704885	-1.7040566	-14.54224	-1.5364972
195_CC_ORW_CHN_F	-15.118814	-1.703374	-14.333573	-1.4961238
196_CC_ORW_CHN_F	-12.293156	-1.6066628	-13.643103	-0.80507773
197_CC_ORW_CHN_F	-20.025225	-1.2057177	-12.93711	-1.7496728
199_CC_ORW_CHN_F	-5.9416823	-0.83675873	-11.558164	-0.15916415
200_CC_ORW_CHN_F	-16.490795	-1.662862	-12.472265	-1.1635844
202_CC_ORW_CHN_F	-16.440014	-1.5377929	-13.811104	-1.3653283
205_CC_ORW_CHN_F	-19.327665	-1.5337312	-13.548737	-1.6923629
206_CC_ORW_CHN_F	-19.483286	-1.5944772	-14.10412	-1.8387129
207_CC_ORW_CHN_F	-13.894014	-1.8045762	-14.189977	-1.2150182
208_CC_ORW_CHN_F	-19.469196	-1.6470844	-13.420701	-1.5259225
215_CB_GBC_CHN_F	-18.857256	0.24257727	-3.189561	-0.69826657
216_CB_GBC_CHN_F	-21.389084	0.39773166	0.45611343	-0.6231827
231_CC_ORW_CHN_F	-27.138048	-0.62658805	-2.3240273	-1.5461491
238_CC_ORW_CHN_F	-25.199697	-1.2055253	-6.7036614	-1.8955349
242_CC_ORW_CHN_F	-30.545431	0.025819946	5.054626	-1.0999209
252_CC_SRT_RUS_F	-14.014642	-0.37436172	-3.76127	-0.04948789
256_CC_SRT_RUS_F	-13.280982	-0.49071988	-1.8503017	2.530744
259_CC_SRT_RUS_F	-26.578548	0.3282744	9.407667	-0.40555698
260_CC_SRT_RUS_F	-27.144457	0.7993843	10.250913	-0.31274164
261_CC_BFB_RUS_F	17.462252	-0.86851245	-1.5651832	40.66816
269_CC_TBW_RUS_F	21.473627	-8.262553	3.4052076	-4.686326
270_CC_TBW_RUS_F	21.257435	-7.9998894	3.2788072	-4.45991
272_CC_TBW_RUS_F	21.577234	-8.454395	3.5974388	-4.8282046
273_CC_TBW_RUS_F	21.589952	-7.557632	3.366705	-4.535272
408_CC_TBW_RUS_F	21.473635	-8.262555	3.4052095	-4.6863275
