BP_A_bin	BP_B_bin	R2
27920000	27920000	0.387275
27920000	27930000	0.636364
27920000	27940000	0.283641
27920000	27950000	0.41926640000000004
27920000	27960000	0.247678
27920000	27970000	0.214751
27920000	27980000	0.25095999999999996
27920000	27990000	0.257895
27920000	28020000	0.342857
27920000	28030000	0.342995
27920000	28050000	0.22688833333333333
27920000	28060000	0.283473
27920000	28070000	0.24436999999999998
27920000	28080000	0.304348
27920000	28090000	0.200535
27920000	28100000	0.275176
27920000	28120000	0.208269
27920000	28130000	0.23598399999999997
27920000	28140000	0.257895
27920000	28170000	0.206612
27920000	28180000	0.443852
27920000	28190000	0.217503
27920000	28200000	0.22919849999999997
27920000	28210000	0.2520445
27920000	28230000	0.294936
27920000	28240000	0.361179
27920000	28250000	0.27043700000000004
27920000	28260000	0.401611
27920000	28270000	0.26473
27920000	28280000	0.4477156666666667
27920000	28290000	0.286825
27920000	28310000	0.298468
27920000	28320000	0.33572250000000003
27920000	28330000	0.27734580000000003
27920000	28340000	0.3159636666666667
27920000	28350000	0.2803195
27920000	28360000	0.6936375
27920000	28370000	0.3504362
27920000	28380000	0.213158
27920000	28390000	0.204649
27920000	28400000	0.384879
27920000	28410000	0.232404
27920000	28420000	0.207792
27920000	28430000	0.243243
27920000	28440000	0.478261
27920000	28480000	0.20534750000000002
27920000	28490000	0.37970750000000003
27920000	28500000	0.206612
27920000	28510000	0.255628
27920000	28520000	0.253209
27920000	28540000	0.326908
27920000	28550000	0.3076765
27920000	28560000	0.345455
27920000	28570000	0.206612
27920000	28630000	0.251785
27920000	28640000	0.636364
27920000	28660000	0.2937842
27920000	28670000	0.272727
27920000	28680000	0.217503
27920000	28700000	0.345455
27920000	28710000	0.328947
27920000	28720000	0.222639
27920000	28730000	0.25537699999999997
27920000	28740000	0.30215625
27920000	28750000	0.37874399999999997
27920000	28760000	0.243243
27920000	28770000	0.26081299999999996
27920000	28780000	0.2633305
27920000	28790000	0.33318000000000003
27920000	28840000	0.22433
27920000	28860000	0.204649
27920000	28870000	0.2120575
27920000	28890000	0.2563785
27920000	28910000	0.2176535
27920000	28940000	0.270347
27920000	28950000	0.3030795
27920000	28960000	0.304348
27920000	28970000	0.24329
27920000	28990000	0.282246
27920000	29000000	0.319952
27920000	29010000	0.264446
27920000	29020000	0.2630105
27920000	29030000	0.30572625
27920000	29040000	0.217687
27920000	29050000	0.313297
27920000	29070000	0.217503
